"","Specie","Long","Lat","LA.SA","Sample","Height","Alpha","MI","References","X","X.1","LA.SA..m2.m.2.","X.2","count","pft"
"4","Eucalyptus camaldulensis",149.03,-32.7,3.46,"trunk",NA,0.34,0.28,"Benyon et al. 1999",NA,NA,2881.84438040346,NA,591,"floodplain_sclerophyll"
"5","Eucalyptus camaldulensis",149.03,-32.7,3.57,"trunk",NA,0.34,0.28,"Benyon et al. 1999",NA,NA,3703.7037037037,NA,591,"floodplain_sclerophyll"
"6","Eucalyptus camaldulensis",149.03,-32.7,3.5,"trunk",6.7,0.46,0.54,"Benyon et al. 1999",NA,NA,3174.60317460318,NA,591,"floodplain_sclerophyll"
"7","Eucalyptus camaldulensis",149.03,-32.7,3.48,"trunk",4.8,0.46,0.54,"Benyon et al. 1999",NA,NA,3030.30303030303,NA,591,"floodplain_sclerophyll"
"104","Eucalyptus camaldulensis",140.87,-33.98,3.66,"trunk",28.55,0.24,0.3,"Eldridge et al. 1993 ",NA,NA,4608.29493087558,NA,591,"floodplain_sclerophyll"
"225","Eucalyptus camaldulensis",145,-36.42,3.52,"trunk",NA,0.29,0.26,"Morris and Collopy 1999",NA,NA,3322.25913621262,NA,591,"floodplain_sclerophyll"
"226","Eucalyptus camaldulensis",145,-36.42,3.58,"trunk",NA,0.29,0.26,"Morris and Collopy 1999",NA,NA,3815,NA,591,"floodplain_sclerophyll"
"336","Eucalyptus camaldulensis",145.93,-36.6,3.7,"trunk",NA,0.25,0.18,"Yunusa et al. 2010",NA,NA,5050.50505050505,NA,591,"floodplain_sclerophyll"
"337","Eucalyptus camaldulensis",145.93,-36.6,4.2,"trunk",NA,0.25,0.18,"Yunusa et al. 2010",NA,NA,15748.031496063,NA,591,"floodplain_sclerophyll"
"338","Eucalyptus camaldulensis",145.93,-36.6,3.74,"trunk",NA,0.35,0.42,"Yunusa et al. 2010",NA,NA,5434.78260869566,NA,591,"floodplain_sclerophyll"
"339","Eucalyptus camaldulensis",145.93,-36.6,4.12,"trunk",NA,0.35,0.42,"Yunusa et al. 2010",NA,NA,13175.2305665349,NA,591,"floodplain_sclerophyll"
"105","Eucalyptus largiflorens",140.87,-33.98,3.59,"trunk",7.56,0.24,0.3,"Eldridge et al. 1993 ",NA,NA,3861.00386100386,NA,650,"floodplain_sclerophyll"
"106","Eucalyptus largiflorens",140.87,-33.98,3.56,"trunk",9.675,0.24,0.3,"Eldridge et al. 1993 ",NA,NA,3649.63503649635,NA,650,"floodplain_sclerophyll"
"107","Eucalyptus largiflorens",140.87,-33.98,3.49,"trunk",11.2,0.24,0.3,"Eldridge et al. 1993 ",NA,NA,3076.92307692308,NA,650,"floodplain_sclerophyll"
"108","Eucalyptus largiflorens",140.87,-33.98,3.39,"trunk",8.875,0.24,0.3,"Eldridge et al. 1993 ",NA,NA,2475.24752475248,NA,650,"floodplain_sclerophyll"
