mesic_shrub,mesic_shrub_occ,xeric_shrub,xeric_shrub_occ,mesic_shrub_Nfix,mesic_shrub_Nfix_occ,xeric_shrub_Nfix,xeric_shrub_Nfix_occ,ann_c3_grass,ann_c3_grass_occ,ann_c4_grass,ann_c4_grass_occ,perenn_c3_grass,perenn_c3_grass_occ,perenn_c4_grass,perenn_c4_grass_occ,ephem_c3_grass,ephem_c3_grass_occ,ephem_c4_grass,ephem_c4_grass_occ,Nfix_mesic_midstory,Nfix_mesic_midstory_occ,Nfix_mod_rain,Nfix_mod_rain_occ,Nfix_xeric,Nfix_xeric_occ,savanna_tree,savanna_tree_occ,subalpine_tree,subalpine_tree_occ,floodplain_sclerophyll,floodplain_sclerophyll_occ,warm_rainforest_tree,warm_rainforest_tree_occ,cold_rainforest_tree,cold_rainforest_tree_occ,tall_sclerophyll_seed,tall_sclerophyll_seed_occ,tall_schlerophyll_resprout,tall_schlerophyll_resprout_occ,med_sclerophyll_seed,med_sclerophyll_seed_occ,med_schlerophyll_resprout,med_schlerophyll_resprout_occ,short_sclerophyll_seed,short_sclerophyll_seed_occ,short_schlerophyll_resprout,short_schlerophyll_resprout_occ
Sprengelia incarnata,624,Dodonaea viscosa subsp. angustissima,2029,Acacia simsii,579,Senna artemisioides,1519,Rhodanthe floribunda,1338,Atriplex spongiosa,457,Goodenia fascicularis,950,Cynodon dactylon var. dactylon,645,Brachyscome ciliaris,1184,Heliotropium ovalifolium,383,Allocasuarina littoralis,1280,Acacia oswaldii,1593,Acacia aneura,1814,Corymbia ptychocarpa subsp. ptychocarpa,128,Eucalyptus pauciflora subsp. pauciflora,594,Eucalyptus melliodora,888,Beilschmiedia castrisinensis,47,Aidia gyropetala,21,Eucalyptus siderophloia,381,Eucalyptus crebra,2146,Callitris endlicheri,485,Corymbia clarksoniana,982,Eucalyptus falcata,354,Corymbia greeniana,588
Calytrix brownii,569,Enchylaena tomentosa var. tomentosa,1179,Acacia humifusa,511,Senna artemisioides subsp. filifolia,1273,Stenopetalum lineare,834,Gomphrena lanata,360,Leiocarpa websteri,759,Glossocardia bidens,397,Vittadinia cuneata var. cuneata,673,Euphorbia biconvexa,368,Acacia melanoxylon,1162,Acacia pycnantha,1126,Acacia tetragonophylla,1227,Eucalyptus pantoleuca,112,Eucalyptus nitida,535,Eucalyptus microcarpa,696,Endiandra anthropophagorum,34,Cupaniopsis papillosa,16,Eucalyptus elata,216,Eucalyptus obliqua,799,Eucalyptus salubris,411,Eucalyptus intertexta,892,Eucalyptus eremophila,275,Eucalyptus trivalva,494
Ricinocarpos pinifolius,514,Eremophila glabra subsp. glabra,1162,Tephrosia juncea,402,Acacia melleodora,861,Polycalymma stuartii,806,Roepera compressa,312,Lotus australis,732,Triodia schinzii,343,Evolvulus alsinoides var. decumbens,541,Triodia wiseana,355,Acacia ulicifolia,966,Acacia salicina,903,Acacia murrayana,957,Eucalyptus tintinnans,108,Eucalyptus amygdalina,416,Eucalyptus largiflorens,650,Endiandra bellendenkerana,30,Eucryphia jinksii,10,Eucalyptus fraxinoides,129,Eucalyptus acmenoides,648,Callitris intratropica,321,Corymbia dichromophloia,766,Eucalyptus clelandiorum,238,Corymbia erythrophloia,443
Dodonaea triquetra,477,Eremophila latrobei subsp. glabra,1024,Acacia calyculata,393,Acacia sibirica,808,Brachyscome lineariloba,799,Panicum seminudum var. cairnsianum,268,Murdannia graminea,730,Eriachne pallescens var. pallescens,308,Leiocarpa semicalva subsp. semicalva,529,Triodia brizoides,311,Acacia leptocarpa,741,Allocasuarina verticillata,889,Acacia kempeana,732,Eucalyptus lirata,91,Eucalyptus dalrympleana subsp. dalrympleana,336,Eucalyptus camaldulensis,380,Whyanbeelia terrae-reginae,24,Planchonella sp. Mt. Lewis (B.Hyland 14048),5,Eucalyptus oreades,119,Eucalyptus viminalis subsp. viminalis,595,Eucalyptus transcontinentalis,245,Eucalyptus odorata,739,Eucalyptus ravida,181,Corymbia hamersleyana,426
Astrotricha longifolia,435,Eremophila latrobei subsp. latrobei,993,Jacksonia thesioides,347,Senna artemisioides subsp. oligophylla,747,Waitzia acuminata var. acuminata,793,Atriplex muelleri,248,Indigofera pratensis,561,Cyperus decompositus,206,Vittadinia dissecta var. hirta,498,Triodia epactia,303,Trema tomentosa var. aspera,619,Acacia stenophylla,715,Casuarina pauper,672,Alstonia spectabilis subsp. ophioxyloides,88,Leptospermum glaucescens,328,Eucalyptus marginata,161,Mesua larnachiana,21,Eidothea hardeniana,2,Eucalyptus regnans,117,Eucalyptus camaldulensis subsp. camaldulensis,591,Eucalyptus longicornis,223,Corymbia polycarpa,699,Eucalyptus spreta,147,Eucalyptus viminalis subsp. cygnetensis,414
Acrothamnus hookeri,432,Alyxia buxifolia,776,Pycnospora lutescens,312,Senna artemisioides subsp. alicia,707,Rhodanthe moschata,789,Urochloa holosericea subsp. holosericea,202,Ranunculus sessiliflorus var. sessiliflorus,556,Eriachne ovata,195,Evolvulus alsinoides var. villosicalyx,404,Triodia melvillei,225,Acacia auriculiformis,493,Acacia monticola,677,Acacia aneura var. aneura,454,Corymbia oocarpa,84,Eucalyptus pauciflora,306,NA,NA,Planchonella xylocarpa,21,Streblus glaber,2,Eucalyptus delegatensis,63,Corymbia intermedia,558,Eucalyptus urna,221,Eucalyptus exserta,683,Eucalyptus alipes,131,Eucalyptus oxymitra,403
Epacris lanuginosa,416,Maireana trichoptera,771,Cullen badocanum,297,Acacia ramulosa var. ramulosa,688,Rhodanthe stricta,770,Sorghum intrans,189,Goodenia lunata,551,Germainia truncatiglumis,183,Schoenus sparteus,368,Eragrostis olida,114,Acacia aulacocarpa,407,Acacia aptaneura,624,Acacia brachystachya,425,Brachychiton chillagoensis,78,Nothofagus cunninghamii,271,NA,NA,Steganthera hirsuta,21,Ilex cassine,1,NA,NA,Eucalyptus tereticornis subsp. tereticornis,487,Eucalyptus salicola,219,Eucalyptus globoidea,677,Eucalyptus diptera,115,Eucalyptus pachyphylla,336
Epacris paludosa,383,Halgania cyanea,677,Lamprolobium fruticosum,292,Senna artemisioides subsp. helmsii,685,Trachymene pilosa,734,Amaranthus grandiflorus,172,Rytidosperma racemosum var. racemosum,550,Chrysopogon elongatus,182,Vittadinia cervicularis var. cervicularis,365,Triodia angusta,105,Acacia crassicarpa,404,Acacia sericophylla,604,Acacia papyrocarpa,401,Eucalyptus quadricostata,74,Pomaderris apetala subsp. apetala,229,NA,NA,Cryptocarya glaucocarpa,15,NA,NA,NA,NA,Eucalyptus sieberi,479,Eucalyptus dendromorpha,216,Eucalyptus blakelyi,661,Eucalyptus carnei,102,Eucalyptus brevifolia,325
Leucopogon collinus,360,Eremophila maculata subsp. maculata,656,Bossiaea bossiaeoides,279,Petalostylis cassioides,673,Gnephosis tenuissima,715,Polycarpaea holtzei,158,Goodenia armitiana,528,Eriachne sulcata,174,Vittadinia australasica var. australasica,343,Digitaria diminuta,96,Acacia difficilis,397,Acacia cambagei,539,Acacia georginae,391,Corymbia arenaria,73,Leptospermum nitidum,221,NA,NA,Wetria australiensis,15,NA,NA,NA,NA,Eucalyptus tereticornis,473,Eucalyptus striaticalyx,208,Eucalyptus chlorophylla,575,Eucalyptus forrestiana,102,Eucalyptus odontocarpa,324
Isopogon anemonifolius,337,Maireana pyramidata,635,Tephrosia astragaloides,276,Acacia bivenosa,657,Ptilotus helipteroides,702,Portulaca digyna,140,Leiocarpa leptolepis,500,Ischaemum australe var. australe,174,Rostellularia adscendens var. pogonanthera,337,Eragrostis potamophila,83,Acacia obliquinervia,386,Gastrolobium spinosum,440,Acacia ayersiana,389,Brachychiton albidus,62,Eucalyptus tenuiramis,197,NA,NA,Noahdendron nicholasii,14,NA,NA,NA,NA,Corymbia calophylla,442,Eucalyptus lesouefii,199,Eucalyptus populnea,569,Eucalyptus prolixa,96,Banksia dentata,307
