"","X","tree_id","division","family","genus","species","latitude","longitude","stem_diameter_cm","height_m","crown_radius_m","height_outlier","crown_radius_outlier","reference_id","count","pft"
"8265",422383,"T_422383","Angiosperm","Myrtaceae","Eucalyptus","Eucalyptus salmonophloia",-30.192,120.656,25.5,12.9,NA,"N","N",59,372,"med_sclerophyll_resprout"
"8266",426633,"T_426633","Angiosperm","Myrtaceae","Eucalyptus","Eucalyptus salmonophloia",-30.192,120.656,32,14.3,NA,"N","N",59,372,"med_sclerophyll_resprout"
"8267",427513,"T_427513","Angiosperm","Myrtaceae","Eucalyptus","Eucalyptus salmonophloia",-30.192,120.651,34,16.1,NA,"N","N",59,372,"med_sclerophyll_resprout"
"8268",430197,"T_430197","Angiosperm","Myrtaceae","Eucalyptus","Eucalyptus salmonophloia",-30.192,120.651,42,20.1,NA,"N","N",59,372,"med_sclerophyll_resprout"
"8269",430198,"T_430198","Angiosperm","Myrtaceae","Eucalyptus","Eucalyptus salmonophloia",-30.192,120.651,42,9.1,NA,"N","N",59,372,"med_sclerophyll_resprout"
"8270",430199,"T_430199","Angiosperm","Myrtaceae","Eucalyptus","Eucalyptus salmonophloia",-30.192,120.656,42,11.7,NA,"N","N",59,372,"med_sclerophyll_resprout"
"8271",430910,"T_430910","Angiosperm","Myrtaceae","Eucalyptus","Eucalyptus salmonophloia",-30.192,120.651,45.1,18.4,NA,"N","N",59,372,"med_sclerophyll_resprout"
"8272",431104,"T_431104","Angiosperm","Myrtaceae","Eucalyptus","Eucalyptus salmonophloia",-30.192,120.656,46,19.3,NA,"N","N",59,372,"med_sclerophyll_resprout"
"8273",431317,"T_431317","Angiosperm","Myrtaceae","Eucalyptus","Eucalyptus salmonophloia",-30.192,120.656,47,15.4,NA,"N","N",59,372,"med_sclerophyll_resprout"
"8274",431956,"T_431956","Angiosperm","Myrtaceae","Eucalyptus","Eucalyptus salmonophloia",-30.192,120.656,50.9,14.1,NA,"N","N",59,372,"med_sclerophyll_resprout"
"8275",431996,"T_431996","Angiosperm","Myrtaceae","Eucalyptus","Eucalyptus salmonophloia",-30.192,120.656,51,22,NA,"N","N",59,372,"med_sclerophyll_resprout"
"8276",432291,"T_432291","Angiosperm","Myrtaceae","Eucalyptus","Eucalyptus salmonophloia",-30.192,120.656,53,18,NA,"N","N",59,372,"med_sclerophyll_resprout"
"8277",432663,"T_432663","Angiosperm","Myrtaceae","Eucalyptus","Eucalyptus salmonophloia",-30.192,120.656,56,15.3,NA,"N","N",59,372,"med_sclerophyll_resprout"
"8278",432988,"T_432988","Angiosperm","Myrtaceae","Eucalyptus","Eucalyptus salmonophloia",-30.192,120.656,59,11.5,NA,"N","N",59,372,"med_sclerophyll_resprout"
"8279",433834,"T_433834","Angiosperm","Myrtaceae","Eucalyptus","Eucalyptus salmonophloia",-30.192,120.656,69,21.3,NA,"N","N",59,372,"med_sclerophyll_resprout"
"8280",434621,"T_434621","Angiosperm","Myrtaceae","Eucalyptus","Eucalyptus salmonophloia",-30.192,120.656,84,9.6,NA,"N","N",59,372,"med_sclerophyll_resprout"
"8281",434622,"T_434622","Angiosperm","Myrtaceae","Eucalyptus","Eucalyptus salmonophloia",-30.192,120.656,84,18.9,NA,"N","N",59,372,"med_sclerophyll_resprout"
"8282",434691,"T_434691","Angiosperm","Myrtaceae","Eucalyptus","Eucalyptus salmonophloia",-30.192,120.651,86,21.9,NA,"N","N",59,372,"med_sclerophyll_resprout"
"8283",434897,"T_434897","Angiosperm","Myrtaceae","Eucalyptus","Eucalyptus salmonophloia",-30.192,120.656,93,22.3,NA,"N","N",59,372,"med_sclerophyll_resprout"
"8284",435120,"T_435120","Angiosperm","Myrtaceae","Eucalyptus","Eucalyptus salmonophloia",-30.192,120.656,105,13.6,NA,"N","N",59,372,"med_sclerophyll_resprout"
"8285",498570,"T_498570","Angiosperm","Myrtaceae","Eucalyptus","Eucalyptus salmonophloia",-30.186,120.67,85,23.2,8.65,"N","N",68,372,"med_sclerophyll_resprout"
"8286",498606,"T_498606","Angiosperm","Myrtaceae","Eucalyptus","Eucalyptus salmonophloia",-30.186,120.67,107,18.2,7.1,"N","N",68,372,"med_sclerophyll_resprout"
"8287",498622,"T_498622","Angiosperm","Myrtaceae","Eucalyptus","Eucalyptus salmonophloia",-30.199,120.654,120,11.8,7.4,"N","N",68,372,"med_sclerophyll_resprout"
"8288",498633,"T_498633","Angiosperm","Myrtaceae","Eucalyptus","Eucalyptus salmonophloia",-30.192,120.651,129,16.9,7.05,"N","N",68,372,"med_sclerophyll_resprout"
"8289",498665,"T_498665","Angiosperm","Myrtaceae","Eucalyptus","Eucalyptus salmonophloia",-30.192,120.656,162,19.4,5.3,"N","N",68,372,"med_sclerophyll_resprout"
"8290",498671,"T_498671","Angiosperm","Myrtaceae","Eucalyptus","Eucalyptus salmonophloia",-30.192,120.651,170,12.3,2.1,"N","Y",68,372,"med_sclerophyll_resprout"
"8291",498672,"T_498672","Angiosperm","Myrtaceae","Eucalyptus","Eucalyptus salmonophloia",-30.192,120.656,170,13.8,6.9,"N","N",68,372,"med_sclerophyll_resprout"
"8292",498679,"T_498679","Angiosperm","Myrtaceae","Eucalyptus","Eucalyptus salmonophloia",-30.192,120.656,180,16.6,4.65,"N","N",68,372,"med_sclerophyll_resprout"
"8293",498682,"T_498682","Angiosperm","Myrtaceae","Eucalyptus","Eucalyptus salmonophloia",-30.186,120.67,184,15.9,6.1,"N","N",68,372,"med_sclerophyll_resprout"
"8294",498694,"T_498694","Angiosperm","Myrtaceae","Eucalyptus","Eucalyptus salmonophloia",-30.186,120.67,216,10.9,7.4,"N","N",68,372,"med_sclerophyll_resprout"
"8295",498697,"T_498697","Angiosperm","Myrtaceae","Eucalyptus","Eucalyptus salmonophloia",-30.192,120.656,218,15.8,7.6,"N","N",68,372,"med_sclerophyll_resprout"
"8296",498698,"T_498698","Angiosperm","Myrtaceae","Eucalyptus","Eucalyptus salmonophloia",-30.186,120.67,220,20.4,6.8,"N","N",68,372,"med_sclerophyll_resprout"
